time,c_left,c_top
682,73.676180076161,-20.61349495222
683,73.671786003094,-20.650671688089
684,73.667357931021,-20.687881944237
685,73.66289656599,-20.725127276645
686,73.658402634454,-20.762409255568
687,73.653876882451,-20.799729460635
688,73.649320074835,-20.837089476567
689,73.644732994578,-20.874490889505
690,73.64011644216,-20.911935283932
691,73.635471235057,-20.949424240118
692,73.630798207336,-20.986959332036
693,73.62609820935,-21.024542125641
694,73.621372107535,-21.062174177409
695,73.616620784285,-21.099857033022
696,73.611845137904,-21.137592226064
697,73.607046082584,-21.175381276617
698,73.602224548406,-21.213225689624
699,73.597381481307,-21.251126952925
700,73.592517842989,-21.289086534869
701,73.587634610714,-21.327105881435
702,73.582732776965,-21.365186412821
703,73.577813348911,-21.403329519493
704,73.572877347641,-21.441536557706
705,73.567925807142,-21.479808844545
706,73.562959772979,-21.518147652575
707,73.557980300652,-21.556554204199
708,73.552988453626,-21.595029665844
709,73.547985301007,-21.633575142151
710,73.54297191489,-21.672191670287
711,73.537949367365,-21.710880214575
712,73.532918727232,-21.749641661578
713,73.527881056437,-21.788476815802
714,73.522837406287,-21.827386396127
715,73.517788813495,-21.866371033099
716,73.512736296108,-21.905431267142
717,73.507680849397,-21.944567547749
718,73.502623441777,-21.983780233675
719,73.497565010824,-22.023069594096
720,73.492506459467,-22.062435810722
721,73.487448652423,-22.101878980754
722,73.482392412946,-22.141399120624
723,73.477338519925,-22.180996170376
724,73.472287705405,-22.22066999858
725,73.467240652549,-22.260420407629
726,73.46219799407,-22.300247139297
727,73.457160311147,-22.340149880414
728,73.452128132824,-22.380128268528
729,73.447101935882,-22.420181897461
730,73.442082145161,-22.460310322629
731,73.437069134301,-22.500513066076
732,73.432063226869,-22.540789621129
733,73.427064697827,-22.581139456648
734,73.422073775295,-22.621562020832
735,73.417090642559,-22.66205674458
736,73.412115440288,-22.702623044404
737,73.407148268908,-22.743260324919
738,73.402189191083,-22.783967980941
739,73.39723823428,-22.824745399225
740,73.392295393381,-22.865591959908
741,73.387360633299,-22.906507037682
742,73.382433891585,-22.947490002773
743,73.377515081002,-22.988540221768
744,73.37260409204,-23.029657058342
745,73.367700795359,-23.070839873931
746,73.362805044153,-23.112088028397
747,73.357916676407,-23.153400880719
748,73.353035517051,-23.194777789744
749,73.348161379998,-23.236218115019
750,73.343294070048,-23.277721217723
751,73.338433384666,-23.319286461714
752,73.333579115621,-23.36091321469
753,73.328731050478,-23.402600849479
754,73.323888973952,-23.444348745435
755,73.31905266911,-23.486156289946
756,73.314221918426,-23.528022880051
757,73.309396504703,-23.569947924129
758,73.304576211847,-23.611930843675
759,73.299760825513,-23.653971075126
760,73.29495013363,-23.696068071739
761,73.290143926806,-23.7382213055
762,73.285341998636,-23.780430269054
763,73.28054414592,-23.822694477645
764,73.275750168801,-23.865013471054
765,73.270959870841,-23.907386815531
766,73.266173059043,-23.949814105717
767,73.261389543836,-23.99229496655
768,73.256609139024,-24.034829055146
769,73.251831661712,-24.077416062667
770,73.247056932207,-24.12005571617
771,73.242284773906,-24.162747780431
772,73.237515013153,-24.205492059762
773,73.232747479071,-24.2482883998
774,73.227982003365,-24.29113668929
775,73.223218420076,-24.33403686185
776,73.218456565298,-24.376988897713
777,73.213696276834,-24.419992825459
778,73.208937393807,-24.46304872371
779,73.204179756218,-24.506156722807
780,73.199423204455,-24.549317006435
781,73.194667578769,-24.592529813204
782,73.189912718732,-24.635795438166
783,73.18515846268,-24.679114234254
784,73.180404647169,-24.722486613628
785,73.175651106448,-24.765913048913
786,73.170897671969,-24.809394074313
787,73.166144171932,-24.852930286577
788,73.161390430871,-24.896522345807
789,73.156636269291,-24.940170976095
790,73.151881503324,-24.983876965957
791,73.14712594444,-25.027641168584
792,73.142369399171,-25.071464501854
793,73.137611668877,-25.115347948147
794,73.132852549551,-25.159292553918
795,73.128091831676,-25.203299429046
796,73.123329300158,-25.24736974596
797,73.118564734368,-25.291504738539
798,73.113797908314,-25.335705700793
799,73.109028590972,-25.379973985349
800,73.104256546816,-25.424311001735
801,73.099481536552,-25.468718214489
802,73.09470331807,-25.513197141111
803,73.089921647622,-25.557749349863
804,73.08513628119,-25.602376457455
805,73.080346976045,-25.647080126616
806,73.075553492442,-25.691862063587
807,73.070755595418,-25.73672401554
808,73.065953056654,-25.781667767954
809,73.061145656331,-25.826695141957
810,73.056333184969,-25.871807991652
811,73.051515445172,-25.917008201446
812,73.046692253268,-25.962297683382
813,73.041863440802,-26.007678374498
814,73.037028855869,-26.053152234217
815,73.032188364254,-26.098721241767
816,73.0273418504,-26.144387393649
817,73.022489218171,-26.190152701143
818,73.01763039144,-26.236019187855
819,73.012765314486,-26.281988887309
820,73.007893952229,-26.328063840579
821,73.003016290311,-26.374246093945
822,72.998132335025,-26.420537696582
823,72.993242113121,-26.46694069827
824,72.9883456715,-26.513457147106
825,72.983443076795,-26.560089087231
826,72.97853441487,-26.606838556532
827,72.973619790238,-26.653707584345
828,72.968699325406,-26.700698189121
829,72.963773160167,-26.747812376055
830,72.958841450844,-26.795052134681
831,72.953904369506,-26.842419436409
832,72.948962103161,-26.889916232005
833,72.944014852951,-26.93754444901
834,72.93906283336,-26.985305989101
835,72.934106271462,-27.033202725373
836,72.929145406207,-27.081236499561
837,72.924180487784,-27.129409119205
838,72.919211777047,-27.177722354742
839,72.914239545034,-27.226177936553
840,72.909264072547,-27.274777551954
841,72.904285649824,-27.323522842167
842,72.899304576244,-27.372415399249
843,72.894321160082,-27.421456763011
844,72.889335718264,-27.47064841794
845,72.884348576099,-27.519991790132
846,72.879360066955,-27.569488244252
847,72.874370531859,-27.619139080537
848,72.869380318979,-27.668945531851
849,72.864389782982,-27.718908760821
850,72.859399284249,-27.76902985704
851,72.854409187941,-27.819309834375
852,72.849419862918,-27.869749628379
853,72.844431680522,-27.920350093806
854,72.839445013226,-27.971112002257
855,72.834460233175,-28.022036039934
856,72.82947771063,-28.073122805534
857,72.824497812328,-28.124372808256
858,72.819520899781,-28.175786465929
859,72.814547327522,-28.227364103266
860,72.809577441316,-28.279105950214
861,72.804611576344,-28.331012140421
862,72.799650055378,-28.38308270978
863,72.794693186963,-28.435317595068
864,72.789741263608,-28.487716632638
865,72.784794560022,-28.540279557189
866,72.779853331401,-28.593006000566
867,72.774917811788,-28.645895490611
868,72.769988212526,-28.698947450031
869,72.765064720836,-28.7521611953
870,72.760147498511,-28.805535935576
871,72.755236680785,-28.859070771626
872,72.750332375347,-28.912764694786
873,72.745434661551,-28.966616585927
874,72.740543589808,-29.020625214468
875,72.735659181166,-29.074789237416
876,72.730781427094,-29.129107198479
877,72.725910289454,-29.183577527239
878,72.721045700659,-29.238198538423
879,72.716187564014,-29.292968431286
880,72.711335754231,-29.347885289133
881,72.706490118104,-29.402947078988
882,72.701650475329,-29.458151651452
883,72.696816619468,-29.513496740754
884,72.691988319035,-29.56897996502
885,72.687165318691,-29.624598826776
886,72.682347340544,-29.680350713701
887,72.677534085526,-29.736232899635
888,72.672725234847,-29.792242545848
889,72.667920451499,-29.848376702577
890,72.663119381805,-29.904632310826
891,72.658321656989,-29.96100620442
892,72.653526894755,-30.017495112306
893,72.648734700854,-30.074095661089
